1150,32,15,20
1151,32,15,20
1152,32,15,20
1153,32,15,20
1154,32,15,20
1155,32,15,20
1156,32,15,20
1157,32,15,20
1158,32,15,20
1159,32,15,20
1160,32,15,20
1161,32,15,20
1162,32,15,20
1163,32,15,20
1164,32,15,20
1165,32,15,20
1166,32,15,20
1167,32,15,20
1168,32,15,20
1169,32,15,20
1170,32,15,20
1171,32,15,20
1172,32,15,20
1173,32,15,20
1174,32,15,20
1175,32,15,20
1176,32,15,20
1177,32,15,20
1178,32,15,20
1179,32,15,20
1180,32,15,20
1181,32,15,20
1182,32,15,20
1183,32,15,20
1184,32,15,20
1185,32,15,20
1186,32,15,20
1187,32,15,20
1188,32,15,20
1189,32,15,20
1190,32,15,20
1191,32,15,20
1192,32,15,20
1193,32,15,20
1194,32,15,20
1195,32,15,20
1196,32,15,20
1197,32,15,20
1198,32,15,20
1199,32,15,20
1200,32,15,20
1201,32,15,20
1202,32,15,20
1203,32,15,20
1204,32,15,20
1205,32,15,20
1206,32,15,20
1207,32,15,20
1208,32,15,20
1209,32,15,20
1210,32,15,20
1211,32,15,20
1212,32,15,20
1213,32,15,20
1214,32,15,20
1215,32,15,20
1216,32,15,20
1217,32,15,20
1218,32,15,20
1219,32,15,20
1220,32,15,20
1221,32,15,20
1222,32,15,20
1223,32,15,20
1224,32,15,20
1225,32,15,20
1226,32,15,20
1227,32,15,20
1228,32,15,20
1229,32,15,20
1230,32,15,20
1231,32,15,20
1232,32,15,20
1233,32,15,20
1234,32,15,20
1235,32,15,20
1236,32,15,20
1237,32,15,20
1238,32,15,20
1239,32,15,20
1240,32,15,20
1241,32,15,20
1242,32,15,20
1243,32,15,20
1244,32,15,20
1245,32,15,20
1246,32,15,20
1247,32,15,20
1248,32,15,20
1249,32,15,20
1250,32,15,20
1251,32,15,20
1252,32,15,20
1253,32,15,20
1254,32,15,20
1255,32,15,20
1256,32,15,20
1257,32,15,20
1258,32,15,20
1259,32,15,20
1260,32,15,20
1261,32,15,20
1262,32,15,20
1263,32,15,20
1264,32,15,20
1265,32,15,20
1266,32,15,20
1267,32,15,20
1268,32,15,20
1269,32,15,20
1270,32,15,20
1271,32,15,20
1272,32,15,20
1273,32,15,20
1274,32,15,20
1275,32,15,20
1276,32,15,20
1277,32,15,20
1278,32,15,20
1279,32,15,20
1280,32,15,20
1281,32,15,20
1282,32,15,20
1283,32,15,20
1284,32,15,20
1285,32,15,20
1286,32,15,20
1287,32,15,20
1288,32,15,20
1289,32,15,20
1290,32,15,20
1291,32,15,20
1292,32,15,20
1293,32,15,20
1294,32,15,20
1295,32,15,20
1296,32,15,20
1297,32,15,20
1298,32,15,20
1299,32,15,20
1300,32,15,20
1301,32,15,20
1302,32,15,20
1303,32,15,20
1304,32,15,20
1305,32,15,20
1306,32,15,20
1307,32,15,20
1308,32,15,20
1309,32,15,20
1310,32,15,20
1311,32,15,20
1312,32,15,20
1313,32,15,20
1314,32,15,20
1315,32,15,20
1316,32,15,20
1317,32,15,20
1318,32,15,20
1319,32,15,20
1320,32,15,20
1321,32,15,20
1322,32,15,20
1323,32,15,20
1324,32,15,20
1325,32,15,20
1326,32,15,20
1327,32,15,20
1328,32,15,20
1329,32,15,20
1330,32,15,20
1331,32,15,20
1332,32,15,20
1333,32,15,20
1334,32,15,20
1335,32,15,20
1336,32,15,20
1337,32,15,20
1338,32,15,20
1339,32,15,20
1340,32,15,20
1341,32,15,20
1342,32,15,20
1343,32,15,20
1344,32,15,20
1345,32,15,20
1346,32,15,20
1347,32,15,20
1348,32,15,20
1349,32,15,20
1350,32,15,20
1351,32,15,20
1352,32,15,20
1353,32,15,20
1354,32,15,20
1355,32,15,20
1356,32,15,20
1357,32,15,20
1358,32,15,20
1359,32,15,20
1360,32,15,20
1361,32,15,20
1362,32,15,20
1363,32,15,20
1364,32,15,20
1365,32,15,20
1366,32,15,20
1367,32,15,20
1368,32,15,20
1369,32,15,20
1370,32,15,20
1371,32,15,20
1372,32,15,20
1373,32,15,20
1374,32,15,20
1375,32,15,20
1376,32,15,20
1377,32,15,20
1378,32,15,20
1379,32,15,20
1380,32,15,20
1381,32,15,20
1382,32,15,20
1383,32,15,20
1384,32,15,20
1385,32,15,20
1386,32,15,20
1387,32,15,20
1388,32,15,20
1389,32,15,20
1390,32,15,20
1391,32,15,20
1392,32,15,20
1393,32,15,20
1394,32,15,20
1395,32,15,20
1396,32,15,20
1397,32,15,20
1398,32,15,20
1399,32,15,20
1400,32,15,20
1401,32,15,20
1402,32,15,20
1403,32,15,20
1404,32,15,20
1405,32,15,20
1406,32,15,20
1407,32,15,20
1408,32,15,20
1409,32,15,20
1410,32,15,20
1411,32,15,20
1412,32,15,20
1413,32,15,20
1414,32,15,20
